username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
Masmas_NewJeans,1,0.0007796825227094,0.0,0,1,0.1721757668037004,1,1.0,0
audiraafian,128,0.0007796825227094,0.0,0,1,0.4049823896458327,1,1.0,0
MagnaSatria,1,0.0007796825227094,0.0,0,1,0.1856062973519276,1,1.0,0
ammanyaazzam,1,0.0007796825227094,0.0,0,1,0.148048868015571,1,1.0,0
bdatmaneo,1,0.0007796825227094,0.0,0,1,0.2194363790818625,1,1.0,0
SetelahBanned,36,0.0007796825227094,0.0,0,2,0.2491639551191328,2,1.0,0
derarang,1,0.0007796825227094,0.0,0,1,0.2610593359726975,1,1.0,0
benz_melly,1,0.0007796825227094,0.0,0,1,0.2285729913206291,1,1.0,0
rainyadios,1,0.0007796825227094,0.0,0,1,0.1328457139590974,1,1.0,0
inibaligila,1,0.0007796825227094,0.0,0,1,0.06767475371948,1,1.0,0
bLxCoffee,1,0.0007796825227094,0.0,0,1,0.143727420166765,1,1.0,0
Thaharizieq3,36,0.0007796825227094,0.0,0,1,0.2804939093839899,1,1.0,0
fxnetizen,0,0.0007796825227094,0.0,0,2,0.2408711103773051,3,0.6666666666666666,0
yogasben,1,0.0007796825227094,0.0,0,1,0.0867273312130128,1,1.0,0
jackthegon,2,0.0007796825227094,0.0,0,1,0.3525444031227826,1,1.0,0
0tk0il,36,0.0011111839083552,0.0,1,0,0.1748822748076844,1,0.0,0
lysavana1,133,0.0047132815667727,0.0,1,1,0.4609195794356682,3,0.3333333333333333,0
RickyKardjono,133,0.0047132815667727,0.0,1,1,0.5094693890578774,2,0.5,0
FitaEst_SpesEst,1,0.0007796825227094,0.0,0,1,0.0608964887402148,1,1.0,0
DatukPanduto_,1,0.0007796825227094,0.0,0,1,0.1019916802659788,1,1.0,0
ArezReja,1,0.0007796825227094,0.0,0,1,0.0632434278357594,1,1.0,0
andrikosasi,1,0.0007796825227094,0.0,0,1,0.2940180195798852,1,1.0,0
FauzanF62130013,1,0.0007796825227094,0.0,0,1,0.1467440768286059,1,1.0,0
Dxt_Magnum,1,0.0007796825227094,0.0,0,1,0.18334511867864,1,1.0,0
arnold5508,119,0.0007796825227094,0.0,0,2,0.3815378677710867,2,1.0,0
wildan_hijri,128,0.0007796825227094,0.0,0,1,0.3699871950567697,1,1.0,0
IbnuRashyd,36,0.0007796825227094,0.0,0,1,0.2316775356060865,1,1.0,0
Gonzalesgozin46,1,0.0007796825227094,0.0,0,1,0.1914548649270896,1,1.0,0
krisnanursery,26,0.0007796825227094,0.0,0,1,0.2092381579013119,1,1.0,0
BungkusTukang,26,0.0022382886195512,0.0,3,0,0.2325490663294551,1,0.0,0
magnoworks,134,0.0007796825227094,0.0,0,1,0.7071067811865476,1,1.0,0
ipoelamri,135,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
zaidanmuda,119,0.0007796825227094,0.0,0,1,0.3948457917093133,1,1.0,0
udi_sapys,2,0.0007796825227094,0.0,0,1,0.1503508590227474,1,1.0,0
genewaamrina,118,0.0007796825227094,0.0,0,1,0.3694915303590136,1,1.0,0
Nicke9662734599,134,0.0007796825227094,0.0,0,1,0.7071067811865475,1,1.0,0
LL__Cool__Z,2,0.0007796825227094,0.0,0,1,0.3393049358003571,1,1.0,0
fauzi_SA28,118,0.0007796825227094,0.0,0,1,0.4003860705393999,1,1.0,0
Galih_Limbaran,126,0.0007796825227094,0.0,0,1,0.5932158574699952,1,1.0,0
I17082000,26,0.0007796825227094,0.0,0,1,0.1148498813888291,1,1.0,0
edstrwfz,136,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
Jangansayur,137,0.0007796825227094,0.0,0,1,0.7071067811865476,1,1.0,0
edmar_imas,26,0.0007796825227094,0.0,0,1,0.1469601205527801,1,1.0,0
pmdkhf,138,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
